MsgID.STATE,1522203204.3672822,False,False
MsgID.GLOBAL_HOME,1522203204.3680534,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522203204.3683462,-122.3974490,37.7924792,-0.0640000
MsgID.LOCAL_VELOCITY,1522203204.3683462,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522203204.3686829,-0.0807884,0.0848656,0.0641870
MsgID.LOCAL_VELOCITY,1522203204.3686829,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522203204.3689761,-122.3974485,37.7924810,-0.0610000
MsgID.LOCAL_VELOCITY,1522203204.3689761,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522203204.3692725,0.1219108,0.1293327,0.0618592
MsgID.LOCAL_VELOCITY,1522203204.3692725,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522203204.3695600,-122.3974480,37.7924804,-0.0380000
MsgID.LOCAL_VELOCITY,1522203204.3695600,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522203204.3698447,0.0498941,0.1720337,0.0383290
MsgID.LOCAL_VELOCITY,1522203204.3698447,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522203204.3701725,-122.3974497,37.7924803,0.0000000
MsgID.LOCAL_VELOCITY,1522203204.3701725,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522203204.3704622,0.0380883,0.0195828,-0.0000345
MsgID.LOCAL_VELOCITY,1522203204.3704622,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1522203204.5061991,True,True
MsgID.GLOBAL_HOME,1522203205.4623220,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522203205.4625299,-122.3974503,37.7924802,0.0440000
MsgID.LOCAL_VELOCITY,1522203205.4625299,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522203205.4636798,0.0274585,-0.0343207,-0.0440264
MsgID.LOCAL_VELOCITY,1522203205.4636798,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522203205.4638681,-122.3974500,37.7924788,0.1100000
MsgID.LOCAL_VELOCITY,1522203205.4638681,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522203205.4640474,-0.1813511,0.2934644,-0.1100192
MsgID.LOCAL_VELOCITY,1522203205.4640474,-0.0000209,0.0000003,0.0000058
MsgID.GLOBAL_POSITION,1522203205.4642267,-122.3974501,37.7924801,0.1660000
MsgID.LOCAL_VELOCITY,1522203205.4642267,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522203205.4644125,-0.0402691,0.2789422,-0.1666703
MsgID.LOCAL_VELOCITY,1522203205.4644125,0.0000165,-0.0000036,0.0000132
MsgID.GLOBAL_POSITION,1522203205.4646277,-122.3974516,37.7924788,0.1980000
MsgID.LOCAL_VELOCITY,1522203205.4646277,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522203205.4648283,-0.1746668,0.1480083,-0.1986489
MsgID.LOCAL_VELOCITY,1522203205.4648283,0.0000078,-0.0000022,0.0000176
MsgID.STATE,1522203205.5055890,True,True
MsgID.GLOBAL_HOME,1522203205.5079770,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203205.5464056,-122.3974509,37.7924796,0.2080000
